year,total,sse_main,sse_star,szse_main,szse_sme,szse_gem,bse,sse_total,szse_total,yoy_growth,yoy_added
1990,10,8,0,2,0,0,0,8,2,,
1991,14,8,0,6,0,0,0,8,6,39.99999999999999,4.0
1992,53,29,0,24,0,0,0,29,24,278.57142857142856,39.0
1993,183,106,0,77,0,0,0,106,77,245.2830188679245,130.0
1994,291,171,0,120,0,0,0,171,120,59.01639344262295,108.0
1995,323,188,0,135,0,0,0,188,135,10.996563573883167,32.0
1996,530,293,0,237,0,0,0,293,237,64.08668730650156,207.0
1997,745,383,0,362,0,0,0,383,362,40.56603773584906,215.0
1998,851,438,0,413,0,0,0,438,413,14.228187919463098,106.0
1999,949,484,0,463,0,0,0,484,463,11.51586368977673,98.0
2000,1088,572,0,514,0,0,0,572,514,14.64699683877766,139.0
2001,1154,646,0,508,0,0,0,646,508,6.066176470588225,66.0
2002,1224,715,0,509,0,0,0,715,509,6.0658578856152445,70.0
2003,1287,780,0,507,0,0,0,780,507,5.147058823529416,63.0
2004,1377,837,0,470,70,0,0,837,540,6.9930069930070005,90.0
2005,1381,834,0,435,112,0,0,834,547,0.2904865649963728,4.0
2006,1434,842,0,436,156,0,0,842,592,3.8377986965966615,53.0
2007,1550,860,0,460,230,0,0,860,690,8.089260808926092,116.0
2008,1625,864,0,465,296,0,0,864,761,4.8387096774193505,75.0
2009,1700,870,0,460,310,36,0,870,806,4.615384615384621,75.0
2010,2063,894,0,476,531,153,0,894,1160,21.352941176470598,363.0
2011,2342,931,0,476,643,281,0,931,1400,13.523994183228316,279.0
2012,2494,954,0,476,709,355,0,954,1540,6.490179333902657,152.0
2013,2489,953,0,466,701,369,0,953,1536,-0.200481154771448,-5.0
2014,2613,995,0,469,738,406,0,995,1613,4.981920449979915,124.0
2015,2827,1081,0,471,772,492,0,1081,1735,8.18982013011864,214.0
2016,3052,1182,0,465,862,593,0,1182,1920,7.9589671029359765,225.0
2017,3485,1396,0,457,895,737,0,1396,2089,14.187418086500658,433.0
2018,3584,1450,0,457,924,753,0,1450,2134,2.840746054519361,99.0
2019,3777,1572,18,457,936,772,0,1590,2165,5.38504464285714,193.0
2020,4154,1621,179,459,960,874,0,1800,2293,9.981466772570812,377.0
2021,4697,1798,362,1495,0,1000,100,2160,2495,13.071738083774665,543.0
2022,5079,1954,499,1495,0,1077,162,2453,2572,8.132850755801568,382.0
2023,5346,2066,572,1495,0,1183,237,2638,2678,5.256940342587124,267.0
2024,5392,2088,589,1495,0,1241,261,2677,2736,0.8604564160119788,46.0
2025,5477,2110,610,1495,0,1340,278,2720,2835,1.5764094955489583,85.0
2026,5496,2127,628,1495,0,1381,298,2755,2876,0.3469052400949524,19.0
